,State,Site Name,City,Zip,County,Latitude,Longitude,State Name,zip,population,Year
1117,CO,Summitville Mine,Rio Grande County,81132,RIO GRANDE,37.423917,-106.598491,Colorado,81132,3309.0,1994
1118,CO,Uravan Uranium Project (Union Carbide Corp.),Uravan,81422,MONTROSE,38.369015,-108.747527,Colorado,81422,520.0,1986
1119,CO,Vasquez Boulevard And I-70,Denver,80216,DENVER,39.791667,-104.958333,Colorado,80216,16610.0,1999
1120,MT,Acm Smelter And Refinery,Black Eagle,59414,CASCADE,47.52861,-111.24648,Montana,59414,654.0,2011
1121,MT,Anaconda Aluminum Co Columbia Falls Reduction Plant,Columbia Falls,59912,FLATHEAD,48.39166,-114.136514,Montana,59912,15745.0,2016
1122,MT,Anaconda Co. Smelter,Anaconda,59711,DEER LODGE,46.116661,-112.915,Montana,59711,9464.0,1983
1123,MT,Barker Hughesville Mining District,Monarch,59469,CASCADE,47.071683,-110.643788,Montana,59469,138.0,2001
1124,MT,Basin Mining Area,Basin,59631,JEFFERSON,46.345479,-112.272079,Montana,59631,367.0,1999
1125,MT,Billings Pce,Billings,59101,YELLOWSTONE,45.774118,-108.522926,Montana,59101,41797.0,2021
1126,MT,Carpenter Snow Creek Mining District,Neihart,59465,CASCADE,46.956312,-110.709797,Montana,59465,33.0,2001
1127,MT,East Helena Site,East Helena,59635,LEWIS AND CLARK,46.583866,-111.920692,Montana,59635,8382.0,1984
1128,MT,Flat Creek Imm,Superior,59872,MINERAL,47.226375,-114.871355,Montana,59872,2470.0,2009
1129,MT,Idaho Pole Co.,Bozeman,59715,GALLATIN,45.688331,-111.0217,Montana,59715,39275.0,1986
1130,MT,Libby Asbestos Site,Libby,59923,LINCOLN,48.391528,-115.551111,Montana,59923,9885.0,2002
1131,MT,Libby Ground Water Contamination,Libby,59923,LINCOLN,48.381158,-115.539627,Montana,59923,9885.0,1983
1132,MT,Lockwood Solvent Ground Water Plume,Billings,59101,YELLOWSTONE,45.801471,-108.457075,Montana,59101,41797.0,2000
1133,MT,Milltown Reservoir Sediments,Milltown,59851,MISSOULA,46.86452,-113.883364,Montana,59851,54.0,1983
1134,MT,Montana Pole And Treating,Butte,59701,SILVER BOW,45.99134,-112.548242,Montana,59701,34245.0,1987
1135,MT,Mouat Industries,Columbus,59019,STILLWATER,45.633612,-109.245678,Montana,59019,4267.0,1986
1136,MT,Silver Bow Creek/Butte Area,Butte,59750,SILVER BOW,46.002307,-112.61698,Montana,59750,408.0,1983
1137,MT,Upper Tenmile Creek Mining Area,Helena,59601,LEWIS AND CLARK,46.48091,-112.25399,Montana,59601,31822.0,1999
1138,SD,Ellsworth Air Force Base,Ellsworth Afb,57706,PENNINGTON,44.151681,-103.093332,South Dakota,57706,3009.0,1990
1139,SD,Gilt Edge Mine,Lead,57754,LAWRENCE,44.332324,-103.668728,South Dakota,57754,3605.0,2000
1140,UT,700 South 1600 East Pce Plume,Salt Lake City,84102,SALT LAKE,40.753944,-111.848034,Utah,84102,19145.0,2013
1141,UT,Bountiful/Woods Cross 5Th S. Pce Plume,Bountiful,84010,DAVIS,40.887689,-111.904342,Utah,84010,46666.0,2001
